parameter,value,timestamp
Visible,174,1550168225.923774
Full_Spectrum,200,1550168234.402128
Infrared,27,1550168234.402128
Visible,173,1550168234.402128
Full_Spectrum,200,1550168238.9931111
Infrared,27,1550168238.9931111
Visible,173,1550168238.9931111
Full_Spectrum,199,1550168243.576333
Infrared,27,1550168243.576333
Visible,172,1550168243.576333
Full_Spectrum,199,1550168256.9461963
Infrared,27,1550168256.9461963
Visible,172,1550168256.9461963
Full_Spectrum,199,1550168265.239579
Infrared,27,1550168265.239579
Visible,172,1550168265.239579
Full_Spectrum,198,1550168269.8647132
Infrared,26,1550168269.8647132
Visible,172,1550168269.8647132
Full_Spectrum,198,1550168274.4600246
Infrared,26,1550168274.4600246
Visible,172,1550168274.4600246
Full_Spectrum,181,1550168287.884439
Infrared,25,1550168287.884439
Visible,156,1550168287.884439
Full_Spectrum,200,1550168296.1222477
Infrared,26,1550168296.1222477
Visible,174,1550168296.1222477
Full_Spectrum,204,1550168300.77803
Infrared,26,1550168300.77803
Visible,178,1550168300.77803
Full_Spectrum,202,1550168305.2907188
Infrared,26,1550168305.2907188
Visible,176,1550168305.2907188
Full_Spectrum,164,1550168318.705797
Infrared,24,1550168318.705797
Visible,140,1550168318.705797
Full_Spectrum,198,1550168326.9288282
Infrared,25,1550168326.9288282
Visible,173,1550168326.9288282
Full_Spectrum,203,1550168331.563206
Infrared,26,1550168331.563206
Visible,177,1550168331.563206
Full_Spectrum,204,1550168336.129876
Infrared,26,1550168336.129876
Visible,178,1550168336.129876
Full_Spectrum,199,1550168349.5456202
Infrared,25,1550168349.5456202
Visible,174,1550168349.5456202
Full_Spectrum,200,1550168357.758941
Infrared,26,1550168357.758941
Visible,174,1550168357.758941
Full_Spectrum,202,1550168362.4032366
Infrared,26,1550168362.4032366
Visible,176,1550168362.4032366
Full_Spectrum,202,1550168366.9588258
Infrared,26,1550168366.9588258
Visible,176,1550168366.9588258
Full_Spectrum,202,1550168380.4042063
Infrared,26,1550168380.4042063
Visible,176,1550168380.4042063
Full_Spectrum,202,1550168388.5701985
Infrared,26,1550168388.5701985
Visible,176,1550168388.5701985
Full_Spectrum,201,1550168393.2599728
Infrared,26,1550168393.2599728
Visible,175,1550168393.2599728
Full_Spectrum,202,1550168397.833187
Infrared,26,1550168397.833187
Visible,176,1550168397.833187
Full_Spectrum,202,1550168402.4864697
Infrared,26,1550168402.4864697
Visible,176,1550168402.4864697
Full_Spectrum,201,1550168411.2399836
Infrared,26,1550168411.2399836
Visible,175,1550168411.2399836
Full_Spectrum,201,1550168419.4025068
Infrared,26,1550168419.4025068
Visible,175,1550168419.4025068
Full_Spectrum,201,1550168424.0976453
Infrared,26,1550168424.0976453
Visible,175,1550168424.0976453
Full_Spectrum,200,1550168428.6946235
Infrared,26,1550168428.6946235
Visible,174,1550168428.6946235
Full_Spectrum,201,1550168433.8289177
Infrared,26,1550168433.8289177
Visible,175,1550168433.8289177
Full_Spectrum,201,1550168442.1338782
Infrared,26,1550168442.1338782
Visible,175,1550168442.1338782
Full_Spectrum,201,1550168450.2972102
Infrared,26,1550168450.2972102
Visible,175,1550168450.2972102
Full_Spectrum,201,1550168455.0008237
Infrared,26,1550168455.0008237
Visible,175,1550168455.0008237
Full_Spectrum,200,1550168459.476047
Infrared,25,1550168459.476047
Visible,175,1550168459.476047
Full_Spectrum,201,1550168464.6421468
Infrared,26,1550168464.6421468
Visible,175,1550168464.6421468
Full_Spectrum,199,1550168472.9947534
Infrared,25,1550168472.9947534
Visible,174,1550168472.9947534
Full_Spectrum,199,1550168481.127545
Infrared,25,1550168481.127545
Visible,174,1550168481.127545
Full_Spectrum,200,1550168485.7844532
Infrared,25,1550168485.7844532
Visible,175,1550168485.7844532
Full_Spectrum,200,1550168490.418814
Infrared,25,1550168490.418814
Visible,175,1550168490.418814
Full_Spectrum,198,1550168495.484864
Infrared,25,1550168495.484864
Visible,173,1550168495.484864
Full_Spectrum,200,1550168503.812674
Infrared,25,1550168503.812674
Visible,175,1550168503.812674
Full_Spectrum,198,1550168511.9215689
Infrared,25,1550168511.9215689
Visible,173,1550168511.9215689
Full_Spectrum,199,1550168516.6669965
Infrared,25,1550168516.6669965
Visible,174,1550168516.6669965
Full_Spectrum,199,1550168521.2489831
Infrared,25,1550168521.2489831
Visible,174,1550168521.2489831
Full_Spectrum,200,1550168526.4053807
Infrared,25,1550168526.4053807
Visible,175,1550168526.4053807
Full_Spectrum,200,1550168534.6362438
Infrared,25,1550168534.6362438
Visible,175,1550168534.6362438
Full_Spectrum,199,1550168542.7483466
Infrared,25,1550168542.7483466
Visible,174,1550168542.7483466
Full_Spectrum,194,1550168547.5131884
Infrared,24,1550168547.5131884
Visible,170,1550168547.5131884
Full_Spectrum,190,1550168552.4019709
Infrared,24,1550168552.4019709
Visible,166,1550168552.4019709
Full_Spectrum,198,1550168557.2354465
Infrared,25,1550168557.2354465
Visible,173,1550168557.2354465
Full_Spectrum,198,1550168565.4564793
Infrared,25,1550168565.4564793
Visible,173,1550168565.4564793
Full_Spectrum,197,1550168573.6389363
Infrared,25,1550168573.6389363
Visible,172,1550168573.6389363
Full_Spectrum,193,1550168578.4045618
Infrared,24,1550168578.4045618
Visible,169,1550168578.4045618
Full_Spectrum,192,1550168583.2208698
Infrared,24,1550168583.2208698
Visible,168,1550168583.2208698
Full_Spectrum,197,1550168588.1314046
Infrared,25,1550168588.1314046
Visible,172,1550168588.1314046
Full_Spectrum,197,1550168596.3743083
Infrared,25,1550168596.3743083
Visible,172,1550168596.3743083
Full_Spectrum,198,1550168604.5675042
Infrared,25,1550168604.5675042
Visible,173,1550168604.5675042
Full_Spectrum,198,1550168609.2846043
Infrared,25,1550168609.2846043
Visible,173,1550168609.2846043
Full_Spectrum,199,1550168614.1462297
Infrared,25,1550168614.1462297
Visible,174,1550168614.1462297
Full_Spectrum,198,1550168619.2138717
Infrared,25,1550168619.2138717
Visible,173,1550168619.2138717
Full_Spectrum,198,1550168627.2692556
Infrared,25,1550168627.2692556
Visible,173,1550168627.2692556
Full_Spectrum,198,1550168635.3829088
Infrared,25,1550168635.3829088
Visible,173,1550168635.3829088
Full_Spectrum,198,1550168640.0642395
Infrared,25,1550168640.0642395
Visible,173,1550168640.0642395
Full_Spectrum,198,1550168645.0063584
Infrared,25,1550168645.0063584
Visible,173,1550168645.0063584
Full_Spectrum,199,1550168650.118966
Infrared,25,1550168650.118966
Visible,174,1550168650.118966
Full_Spectrum,199,1550168658.1236627
Infrared,25,1550168658.1236627
Visible,174,1550168658.1236627
Full_Spectrum,198,1550168666.1802132
Infrared,25,1550168666.1802132
Visible,173,1550168666.1802132
Full_Spectrum,198,1550168670.9299319
Infrared,25,1550168670.9299319
Visible,173,1550168670.9299319
Full_Spectrum,198,1550168675.9419472
Infrared,25,1550168675.9419472
Visible,173,1550168675.9419472
Full_Spectrum,198,1550168680.8925817
Infrared,25,1550168680.8925817
Visible,173,1550168680.8925817
Full_Spectrum,198,1550168688.9825568
Infrared,25,1550168688.9825568
Visible,173,1550168688.9825568
Full_Spectrum,198,1550168697.061232
Infrared,25,1550168697.061232
Visible,173,1550168697.061232
Full_Spectrum,198,1550168701.733153
Infrared,25,1550168701.733153
Visible,173,1550168701.733153
Full_Spectrum,198,1550168702.5397332
Infrared,25,1550168702.5397332
Visible,173,1550168702.5397332
Full_Spectrum,198,1550168706.8023121
Infrared,25,1550168706.8023121
Visible,173,1550168706.8023121
Full_Spectrum,198,1550168711.7665577
Infrared,25,1550168711.7665577
Visible,173,1550168711.7665577
Full_Spectrum,198,1550168719.8795958
Infrared,25,1550168719.8795958
Visible,173,1550168719.8795958
Full_Spectrum,197,1550168727.934429
Infrared,25,1550168727.934429
Visible,172,1550168727.934429
Full_Spectrum,198,1550168732.8776138
Infrared,25,1550168732.8776138
Visible,173,1550168732.8776138
Full_Spectrum,199,1550168733.3864045
Infrared,25,1550168733.3864045
Visible,174,1550168733.3864045
Full_Spectrum,198,1550168737.682517
Infrared,25,1550168737.682517
Visible,173,1550168737.682517
Full_Spectrum,197,1550168742.6582766
Infrared,25,1550168742.6582766
Visible,172,1550168742.6582766
Full_Spectrum,197,1550168750.654964
Infrared,25,1550168750.654964
Visible,172,1550168750.654964
Full_Spectrum,197,1550168758.7125528
Infrared,25,1550168758.7125528
Visible,172,1550168758.7125528
Full_Spectrum,198,1550168763.7810814
Infrared,25,1550168763.7810814
Visible,173,1550168763.7810814
Full_Spectrum,197,1550168764.2745967
Infrared,25,1550168764.2745967
Visible,172,1550168764.2745967
Full_Spectrum,197,1550168768.5000863
Infrared,25,1550168768.5000863
Visible,172,1550168768.5000863
Full_Spectrum,197,1550168773.521139
Infrared,25,1550168773.521139
Visible,172,1550168773.521139
Full_Spectrum,197,1550168781.4547133
Infrared,25,1550168781.4547133
Visible,172,1550168781.4547133
Full_Spectrum,197,1550168789.5372276
Infrared,25,1550168789.5372276
Visible,172,1550168789.5372276
Full_Spectrum,196,1550168794.7311347
Infrared,25,1550168794.7311347
Visible,171,1550168794.7311347
Full_Spectrum,198,1550168795.1174755
Infrared,25,1550168795.1174755
Visible,173,1550168795.1174755
Full_Spectrum,196,1550168799.3548946
Infrared,25,1550168799.3548946
Visible,171,1550168799.3548946
Full_Spectrum,197,1550168804.4194503
Infrared,25,1550168804.4194503
Visible,172,1550168804.4194503
Full_Spectrum,197,1550168812.287403
Infrared,25,1550168812.287403
Visible,172,1550168812.287403
Full_Spectrum,197,1550168820.3637264
Infrared,25,1550168820.3637264
Visible,172,1550168820.3637264
Full_Spectrum,196,1550168825.5994503
Infrared,24,1550168825.5994503
Visible,172,1550168825.5994503
Full_Spectrum,197,1550168825.9877682
Infrared,25,1550168825.9877682
Visible,172,1550168825.9877682
Full_Spectrum,196,1550168830.2796574
Infrared,24,1550168830.2796574
Visible,172,1550168830.2796574
Full_Spectrum,196,1550168835.308433
